"","dbn","school_name","num.of.sat.test.takers","avg_sat_score","ap.test.takers","total.exams.taken","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","total.cohort","grads_percent","dropout_percent","boro","lat","long","d75","saf_p_11","com_p_11","eng_p_11","aca_p_11","saf_t_11","com_t_11","eng_t_11","aca_t_11","saf_s_11","com_s_11","eng_s_11","aca_s_11","saf_tot_11","com_tot_11","eng_tot_11","aca_tot_11"
"435","29Q283","PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL",43,1100,40,43,1.075,NA,24,51.2,473,1.9,14.4,25,3.4,84.1,10.4,0.8,43.1,56.9,36,77.8,13.9,"Queens",40.6682322880004,-73.7568398939997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","29Q326","CAMBRIA HEIGHTS ACADEMY",NA,NA,2.5,NA,NA,NA,22,71.1,147,2,13.6,5,3.4,87.1,7.5,2,55.1,44.9,NA,NA,NA,"Queens",40.7118182200004,-73.7711918759996,0,8.7,8.1,7.7,7.9,8.6,8.5,9.1,9.3,7.1,6.8,7.3,7.8,8.1,7.8,8.1,8.3
"437","29Q492","MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,1220,22,31,1.40909090909091,25.8064516129032,24,47.9,412,5.1,10.4,22,6.8,79.6,11.9,0.7,60.4,39.6,108,67.6,9.3,"Queens",40.6955363360004,-73.7349183419997,0,7.6,7.2,7.3,7.3,6.2,5,5.2,5.7,6,5.5,6.1,6.9,6.6,5.9,6.2,6.7
"438","29Q494","LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,1139,2.5,NA,NA,NA,28,45.1,454,2.9,13.9,36,4.4,83.3,10.6,0.9,48.7,51.3,125,57.6,10.4,NA,NA,NA,0,7,6.8,6.7,7.2,7.7,8.2,8.3,8.6,5.3,5.2,5.4,6.4,6.7,6.7,6.8,7.4
"439","29Q496","BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,1152,2.5,NA,NA,NA,32,43.5,353,6.5,19,30,6.2,85.3,5.4,0.8,67.1,32.9,116,44.8,19,NA,NA,NA,0,7.5,7.4,7.3,7.5,8.7,8.7,8.9,9.1,5.7,5.7,6.1,6.9,7.3,7.3,7.4,7.8
"440","29Q498","HUMANITIES & ARTS MAGNET HIGH SCHOOL",62,1151,2.5,NA,NA,NA,28,51.5,481,3.5,14.8,9,4,85.9,8.5,1.5,42.8,57.2,94,76.6,6.4,"Queens",40.6955363360004,-73.7349183419997,0,6.8,6.8,7,7.1,7.4,7.6,8.1,8.4,5.5,5.2,5.9,6.7,6.6,6.5,7,7.4
"441","30Q286","YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",NA,NA,2.5,NA,NA,NA,22,68.1,495,5.5,5.3,1,39.2,4.2,40.4,16.2,0,100,NA,NA,NA,"Queens",40.7712508960004,-73.9246016709997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","30Q301","ACADEMY FOR CAREERS IN TELEVISION AND FILM",98,1255,2.5,NA,NA,NA,22,54.1,419,2.9,14.6,4,6,20.5,53.5,18.9,53.2,46.8,NA,NA,NA,"Queens",40.7411373280004,-73.9496885989997,0,9,8.8,8.2,8.8,8.1,8.6,8.5,8.9,7.3,6.8,7.7,8.1,8.2,8.1,8.1,8.6
"443","30Q445","WILLIAM CULLEN BRYANT HIGH SCHOOL",395,1275,243,330,1.35802469135802,29.3939393939394,29,33.7,2945,17.9,12.1,176,28.9,7.3,48.8,14.5,53.7,46.3,810,55.4,13.6,"Queens",40.7581246750004,-73.9103333089997,0,7.5,7,7.1,7.3,7.5,6.6,7.4,7.7,6.6,5.6,6.5,7.2,7.2,6.4,7,7.4
"444","30Q450","LONG ISLAND CITY HIGH SCHOOL",392,1218,406,805,1.98275862068966,20.9937888198758,25,62.8,3386,13.2,13.8,186,13.2,11.4,62.7,12.5,51.3,48.7,718,58.5,12.8,"Queens",40.7657639380005,-73.9327259849996,0,6.9,6.4,6.7,6.7,6.6,6.7,7.3,7.4,5.6,5.4,6,6.7,6.3,6.1,6.7,7
"445","30Q501","FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL",174,1494,108,136,1.25925925925926,27.9411764705882,28,29.7,756,0.1,1.9,0,8.7,16.9,27.2,46.3,30,70,171,94.7,1.8,"Queens",40.7565280740004,-73.9251406439997,0,8.4,7.3,7.5,7.5,7.3,5.6,5.8,6.6,7,5.8,6.3,7.1,7.6,6.2,6.5,7.1
